epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,309.632,1.17902,1.19038,1.23737,0.80993,0.67564,0.77178,0.50954,1.09099,0.83549,1.22079,0.00998917,0.00332972,0.00998917,0.00332972,0.00998917,0.00332972,0.00998917,0.00332972
2,615.056,1.21342,1.03218,1.25901,0.77099,0.63558,0.72442,0.45719,1.17903,0.97972,1.29461,0.019942,0.00664735,0.019942,0.00664735,0.019942,0.00664735,0.019942,0.00664735
3,920.104,1.29678,1.12219,1.32187,0.70159,0.57814,0.63874,0.35763,1.39341,1.25907,1.52295,0.0298478,0.00994926,0.0298478,0.00994926,0.0298478,0.00994926,0.0298478,0.00994926
4,1223.02,1.2926,1.12075,1.32712,0.78913,0.64446,0.73766,0.47363,1.16192,0.87895,1.31736,0.0297879,0.00992929,0.0297879,0.00992929,0.0297879,0.00992929,0.0297879,0.00992929
5,1524.3,1.24195,1.06116,1.29569,0.80144,0.66762,0.76366,0.50247,1.09563,0.81092,1.24127,0.0297171,0.00990571,0.0297171,0.00990571,0.0297171,0.00990571,0.0297171,0.00990571
6,1826.19,1.21371,1.0302,1.27661,0.82824,0.68916,0.78873,0.5344,1.02244,0.75439,1.19927,0.0296464,0.00988214,0.0296464,0.00988214,0.0296464,0.00988214,0.0296464,0.00988214
7,2131.28,1.19625,1.00897,1.26364,0.79555,0.70072,0.77604,0.51571,1.06752,0.77924,1.26456,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857
8,2432.44,1.18368,0.99333,1.25605,0.82412,0.71091,0.80096,0.54881,0.99616,0.72455,1.18069,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
9,2736.44,1.17321,0.98601,1.25152,0.80881,0.71281,0.79805,0.54455,1.00604,0.73235,1.21608,0.0294343,0.00981143,0.0294343,0.00981143,0.0294343,0.00981143,0.0294343,0.00981143
10,3040.99,1.16718,0.97772,1.24521,0.83511,0.7187,0.81416,0.56885,0.94821,0.6881,1.15185,0.0293636,0.00978786,0.0293636,0.00978786,0.0293636,0.00978786,0.0293636,0.00978786
11,3346.5,1.16252,0.97023,1.24272,0.83242,0.72047,0.81567,0.57318,0.93492,0.6788,1.14401,0.0292929,0.00976429,0.0292929,0.00976429,0.0292929,0.00976429,0.0292929,0.00976429
12,3650.59,1.15947,0.96854,1.24057,0.83389,0.72814,0.81812,0.57592,0.93072,0.67217,1.14261,0.0292221,0.00974071,0.0292221,0.00974071,0.0292221,0.00974071,0.0292221,0.00974071
13,3951.41,1.15648,0.96616,1.23809,0.83927,0.72795,0.82126,0.57978,0.91857,0.66111,1.13574,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714
14,4254.46,1.15707,0.96195,1.23629,0.83813,0.73099,0.82315,0.58083,0.92126,0.6604,1.13666,0.0290807,0.00969357,0.0290807,0.00969357,0.0290807,0.00969357,0.0290807,0.00969357
15,4557.94,1.15231,0.95959,1.23381,0.83829,0.73194,0.82475,0.58297,0.91775,0.65467,1.13533,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
16,4860.24,1.14915,0.95857,1.23279,0.83683,0.73167,0.82483,0.58461,0.91267,0.65282,1.1317,0.0289393,0.00964643,0.0289393,0.00964643,0.0289393,0.00964643,0.0289393,0.00964643
17,5161.96,1.14856,0.95474,1.2324,0.83863,0.73511,0.82677,0.58631,0.9101,0.6494,1.12932,0.0288686,0.00962286,0.0288686,0.00962286,0.0288686,0.00962286,0.0288686,0.00962286
18,5463.21,1.14726,0.95626,1.23217,0.8389,0.73476,0.82765,0.58694,0.90849,0.64645,1.12963,0.0287979,0.00959929,0.0287979,0.00959929,0.0287979,0.00959929,0.0287979,0.00959929
19,5763.91,1.14568,0.95163,1.23108,0.84094,0.73308,0.82795,0.58771,0.90668,0.64522,1.12894,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
20,6070.91,1.14435,0.95036,1.22997,0.84044,0.73325,0.82814,0.58796,0.90545,0.64382,1.12807,0.0286564,0.00955214,0.0286564,0.00955214,0.0286564,0.00955214,0.0286564,0.00955214
21,6375.61,1.14229,0.95159,1.23067,0.83822,0.73626,0.8285,0.58886,0.90358,0.64219,1.12697,0.0285857,0.00952857,0.0285857,0.00952857,0.0285857,0.00952857,0.0285857,0.00952857
22,6681.11,1.1413,0.94691,1.23009,0.8366,0.73754,0.82858,0.58897,0.90253,0.64173,1.12615,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
23,6982.49,1.13908,0.94533,1.22819,0.83754,0.73772,0.82881,0.58941,0.90166,0.64125,1.12571,0.0284443,0.00948143,0.0284443,0.00948143,0.0284443,0.00948143,0.0284443,0.00948143
24,7288.18,1.13752,0.94361,1.22666,0.83635,0.73806,0.82884,0.58951,0.90111,0.64025,1.12548,0.0283736,0.00945786,0.0283736,0.00945786,0.0283736,0.00945786,0.0283736,0.00945786
25,7591.67,1.13738,0.94529,1.22563,0.8361,0.7391,0.82941,0.58991,0.90046,0.63945,1.12504,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
26,7896.23,1.13978,0.94557,1.22666,0.83514,0.73887,0.82856,0.58992,0.90095,0.63933,1.12529,0.0282321,0.00941071,0.0282321,0.00941071,0.0282321,0.00941071,0.0282321,0.00941071
27,8199.34,1.14113,0.94569,1.22608,0.83417,0.74082,0.82897,0.59007,0.89992,0.63907,1.12472,0.0281614,0.00938714,0.0281614,0.00938714,0.0281614,0.00938714,0.0281614,0.00938714
28,8503.94,1.13751,0.94314,1.22663,0.83659,0.73887,0.82836,0.59007,0.90027,0.63901,1.12525,0.0280907,0.00936357,0.0280907,0.00936357,0.0280907,0.00936357,0.0280907,0.00936357
29,8808.91,1.13834,0.94322,1.22502,0.83465,0.74168,0.82878,0.59023,0.90019,0.63859,1.12526,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
30,9110.69,1.13707,0.94272,1.22437,0.83693,0.73892,0.82823,0.59004,0.89989,0.63877,1.12529,0.0279493,0.00931643,0.0279493,0.00931643,0.0279493,0.00931643,0.0279493,0.00931643
31,9414.64,1.13581,0.94147,1.22438,0.83625,0.73979,0.82869,0.59036,0.89906,0.63792,1.1248,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
32,9716.43,1.13537,0.94204,1.22522,0.8405,0.73792,0.82897,0.59095,0.89873,0.63726,1.12477,0.0278079,0.00926929,0.0278079,0.00926929,0.0278079,0.00926929,0.0278079,0.00926929
33,10019,1.13325,0.93977,1.22243,0.84102,0.73747,0.82941,0.59097,0.89817,0.63711,1.12413,0.0277371,0.00924571,0.0277371,0.00924571,0.0277371,0.00924571,0.0277371,0.00924571
34,10324,1.13608,0.94082,1.22435,0.84037,0.73724,0.82912,0.59138,0.89773,0.63677,1.12389,0.0276664,0.00922214,0.0276664,0.00922214,0.0276664,0.00922214,0.0276664,0.00922214
35,10628.5,1.13423,0.93843,1.2223,0.84067,0.73733,0.82955,0.59157,0.89721,0.63661,1.12361,0.0275957,0.00919857,0.0275957,0.00919857,0.0275957,0.00919857,0.0275957,0.00919857
36,10931.3,1.13297,0.93939,1.22107,0.84029,0.73783,0.82976,0.59176,0.89709,0.6356,1.12353,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
37,11236.5,1.13321,0.93689,1.22305,0.84131,0.73701,0.82951,0.5918,0.89708,0.63508,1.12371,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
38,11543.1,1.13476,0.93797,1.22205,0.84412,0.73488,0.82973,0.59211,0.89626,0.63459,1.12308,0.0273836,0.00912786,0.0273836,0.00912786,0.0273836,0.00912786,0.0273836,0.00912786
39,11846.7,1.13201,0.93562,1.22133,0.84303,0.7364,0.83009,0.59244,0.89552,0.63422,1.1228,0.0273129,0.00910429,0.0273129,0.00910429,0.0273129,0.00910429,0.0273129,0.00910429
40,12150,1.13135,0.93566,1.21999,0.84335,0.73621,0.82975,0.59243,0.89494,0.63376,1.12212,0.0272421,0.00908071,0.0272421,0.00908071,0.0272421,0.00908071,0.0272421,0.00908071
41,12454.8,1.13088,0.93378,1.21792,0.84404,0.73547,0.83002,0.59242,0.89503,0.6334,1.12199,0.0271714,0.00905714,0.0271714,0.00905714,0.0271714,0.00905714,0.0271714,0.00905714
42,12759.5,1.13249,0.9359,1.22177,0.84434,0.7361,0.83019,0.59264,0.8945,0.63316,1.1215,0.0271007,0.00903357,0.0271007,0.00903357,0.0271007,0.00903357,0.0271007,0.00903357
43,13063.3,1.13157,0.93503,1.21938,0.84401,0.73547,0.83028,0.59283,0.89443,0.63228,1.12116,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
44,13369.1,1.12783,0.93392,1.21961,0.84612,0.73393,0.83018,0.59317,0.8937,0.63194,1.1204,0.0269593,0.00898643,0.0269593,0.00898643,0.0269593,0.00898643,0.0269593,0.00898643
45,13672.4,1.12891,0.93481,1.21947,0.84517,0.73584,0.83025,0.59316,0.89383,0.63147,1.12062,0.0268886,0.00896286,0.0268886,0.00896286,0.0268886,0.00896286,0.0268886,0.00896286
46,13975.7,1.1276,0.93356,1.21943,0.84546,0.73598,0.83064,0.59312,0.8935,0.63118,1.1202,0.0268179,0.00893929,0.0268179,0.00893929,0.0268179,0.00893929,0.0268179,0.00893929
47,14278.1,1.13012,0.93185,1.21883,0.84502,0.73649,0.8308,0.59331,0.89289,0.63078,1.11971,0.0267471,0.00891571,0.0267471,0.00891571,0.0267471,0.00891571,0.0267471,0.00891571
48,14583.8,1.12676,0.93214,1.21798,0.84515,0.73622,0.83096,0.59373,0.89235,0.6303,1.11929,0.0266764,0.00889214,0.0266764,0.00889214,0.0266764,0.00889214,0.0266764,0.00889214
49,14890.3,1.1264,0.93148,1.21831,0.84466,0.73645,0.83116,0.59386,0.89223,0.6294,1.11877,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
50,15198.8,1.12658,0.93101,1.21778,0.8445,0.73655,0.83141,0.59449,0.89136,0.62912,1.11796,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
51,15508.6,1.12343,0.92999,1.21745,0.84485,0.73747,0.83151,0.59475,0.89035,0.62855,1.1171,0.0264643,0.00882143,0.0264643,0.00882143,0.0264643,0.00882143,0.0264643,0.00882143
52,15819.7,1.12587,0.92991,1.21734,0.84431,0.73692,0.83174,0.595,0.8896,0.62805,1.11631,0.0263936,0.00879786,0.0263936,0.00879786,0.0263936,0.00879786,0.0263936,0.00879786
53,16125.2,1.12488,0.92802,1.21783,0.844,0.73642,0.83177,0.59518,0.889,0.62775,1.11574,0.0263229,0.00877429,0.0263229,0.00877429,0.0263229,0.00877429,0.0263229,0.00877429
54,16432,1.12611,0.93101,1.21857,0.84416,0.73757,0.83233,0.59563,0.88849,0.6272,1.11507,0.0262521,0.00875071,0.0262521,0.00875071,0.0262521,0.00875071,0.0262521,0.00875071
55,16736.4,1.12489,0.92912,1.21699,0.84323,0.7381,0.83225,0.5958,0.88836,0.62662,1.11504,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
